measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,191,Zambia,1,Male,27,Age-standardized,491,Cardiovascular diseases,3,Rate,2005,396.9908433528264,441.98301482609327,348.99173208482074
1,Deaths,191,Zambia,2,Female,27,Age-standardized,491,Cardiovascular diseases,3,Rate,2005,301.19130600611265,359.52457907563854,250.72577803669483
1,Deaths,191,Zambia,3,Both,27,Age-standardized,491,Cardiovascular diseases,3,Rate,2005,348.37136326735254,393.7728606122907,303.0854666756349
1,Deaths,48,Hungary,1,Male,27,Age-standardized,491,Cardiovascular diseases,3,Rate,2005,499.45751955473355,513.250428007368,477.05478820625143
1,Deaths,48,Hungary,2,Female,27,Age-standardized,491,Cardiovascular diseases,3,Rate,2005,321.8592650596244,336.4117396658053,293.0689006162027
1,Deaths,48,Hungary,3,Both,27,Age-standardized,491,Cardiovascular diseases,3,Rate,2005,395.0658973903963,408.3506424500249,369.21824651612803
1,Deaths,27,Samoa,1,Male,27,Age-standardized,491,Cardiovascular diseases,3,Rate,2007,468.4319473101141,533.0143360008869,415.33229870821555
1,Deaths,27,Samoa,2,Female,27,Age-standardized,491,Cardiovascular diseases,3,Rate,2007,374.31922085293587,457.42338224825556,310.7468298234827
1,Deaths,27,Samoa,3,Both,27,Age-standardized,491,Cardiovascular diseases,3,Rate,2007,421.0777675122083,494.0456372454948,365.86570093093974
1,Deaths,190,Uganda,1,Male,27,Age-standardized,491,Cardiovascular diseases,3,Rate,2006,318.7658844856874,371.9190662392731,261.4772501146198
1,Deaths,190,Uganda,2,Female,27,Age-standardized,491,Cardiovascular diseases,3,Rate,2006,246.45158537814288,287.6729739065003,197.4761638032061
1,Deaths,190,Uganda,3,Both,27,Age-standardized,491,Cardiovascular diseases,3,Rate,2006,280.7525305751116,319.5142281862691,235.98008502690263
1,Deaths,396,San Marino,1,Male,27,Age-standardized,491,Cardiovascular diseases,3,Rate,2005,153.6981730295845,186.2998103542173,124.57239588020076
1,Deaths,396,San Marino,2,Female,27,Age-standardized,491,Cardiovascular diseases,3,Rate,2005,123.59234578821518,157.94548041833917,93.53800181021677
1,Deaths,396,San Marino,3,Both,27,Age-standardized,491,Cardiovascular diseases,3,Rate,2005,137.51697391123267,170.755402548907,108.55701401463074
1,Deaths,112,Grenada,1,Male,27,Age-standardized,491,Cardiovascular diseases,3,Rate,2005,451.05347697821816,482.0831619878922,421.7532742624901
